Region,Treatment type,Sample category,Number of sampling events,Number of sampling days,Number of samples,Number of positive samples,Mean number of lice,Maximum number of lice,Mean number of infective lice,Maximum number of infective lice
Clayoquot Sound,hydrolicer,effluent,8,9,21,15,80,688,41,604
Clayoquot Sound,hydrolicer,spatial control,4,4,4,0,0,0,0,0
Broughton Archipelago,freshwater,effluent,3,4,20,18,573,1667,227,667
Broughton Archipelago,freshwater,spatial control,2,2,5,0,0,0,0,0
Broughton Archipelago,hydrolicer,effluent,4,6,33,27,432,1200,168,600
Broughton Archipelago,hydrolicer,spatial control,3,5,20,0,0,0,0,0
Broughton Archipelago,none,temporal control,5,9,18,1,4*,67*,4*,67*
