year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
tonnes,"24,362","19,814","25,555","23,657","27,275","27,756","36,465","42,200","49,700","49,000","68,000","84,200","65,411","55,646","63,370","70,181","70,998","73,265","68,662","70,831","83,144","79,981","72,176","62,475","92,926","90,511","85,608","87,010","88,874","90,228","84,171","86,537","50,066","53,816"
dollars.x1000,"110,913","115,518","138,143","153,815","170,365","155,931","175,944","228,900","290,600","278,400","270,900","288,900","255,801","225,180","318,343","407,405","384,099","409,267","394,151","499,608","435,667","409,143","458,710","398,748","470,096","743,363","728,589","772,046","662,749","628,263","692,381","870,901","504,371","513,815"
